"","Component 1","Component 2","Component 3","Component 4"
"pHB",-1.27747721534672,-3.56351549037606,0,0.830525461074063
"ProteinM",3.07770246862897,0,0,-2.77367169656108
"ProteinB",-4.18611371241869,0,0,0.734930350517877
"Water",-1.06940009841231,-2.30809281029199,0,3.59482506257583
"AshM",0,2.56451104513397,0,3.31722864299127
"Fat",0,2.00717776996742,0,-3.78834206240731
"TCAIndexM",-4.15866787393899,0,0,0
"TCAIndexB",0.637890238871328,1.06534225222247,0,-3.88576079396209
"TCAM",-4.0244057961131,0,0,-0.661345773292927
"TCAB",-4.14281355833215,1.04281960229168,0,-0.864593067140037
"Ripened",-3.9202581729771,1.91775692329824,-0.553251320165357,0
"Rawness",3.09288273593677,-1.16968049634215,-2.00950277613333,0
"Malt",-4.02069792192688,0,-1.2684436644956,0
"Stockfish smell",-0.863844143230732,4.18791434673841,0,0
"Sweetness",-3.56456331230448,-1.49114264543254,0,0
"Salty",-0.80124823693328,0,3.95413538923481,0
"Spice",-1.4342448460697,-1.31710089645569,2.92342375622829,0
"Softness",-4.34343596322933,-0.294797378682463,0,0
"Toughness",-4.30298370643759,0,0,0
"Watery",-4.09942072970059,-0.63352406641531,0,0
